"Berichtsdatum";"Geschlecht";"Altersgruppe";"Sterbefälle";"Mortalität"
"30.07.2026";"Gesamt";"Gesamt";"9.800 [8.700; 10.900]";"11,8  [10,5 ; 13,1 ]"
"30.07.2026";"Gesamt";"<65";"  630 [  310;    930]";"1,0   [0,5  ; 1,5  ]"
"30.07.2026";"Gesamt";"65-74";"1.260 [  840;  1.720]";"12,5  [8,3  ; 17,1 ]"
"30.07.2026";"Gesamt";"75-84";"2.460 [1.870;  3.040]";"40,3  [30,6 ; 49,7 ]"
"30.07.2026";"Gesamt";"85+";"5.420 [4.660;  6.160]";"167,4 [143,9; 190,3]"
"30.07.2026";"weiblich";"<65";"  230 [   50;    410]";"0,7   [0,1  ; 1,3  ]"
"30.07.2026";"weiblich";"65-74";"  510 [  230;    780]";"9,6   [4,3  ; 14,7 ]"
"30.07.2026";"weiblich";"75-84";"1.150 [  740;  1.550]";"33,3  [21,4 ; 45,0 ]"
"30.07.2026";"weiblich";"85+";"3.230 [2.670;  3.860]";"154,9 [128,4; 185,5]"
"30.07.2026";"männlich";"<65";"  400 [  130;    680]";"1,2   [0,4  ; 2,1  ]"
"30.07.2026";"männlich";"65-74";"  750 [  390;  1.080]";"15,8  [8,3  ; 22,6 ]"
"30.07.2026";"männlich";"75-84";"1.310 [  880;  1.730]";"49,3  [33,2 ; 65,0 ]"
"30.07.2026";"männlich";"85+";"2.190 [1.680;  2.630]";"189,9 [145,8; 228,1]"
